DEFLECTION,PSF,compactness,number of room, average room area,occlusivity,visible area,mean radial
10.164461,26.000878,0.018254,3,268.906667,4842.505337,333952.21147,310.068514
10.179609,26.487587,0.018376,3,245.84,4826.506925,333906.344597,309.94962
9.664993,25.872861,0.018563,4,194.79,4736.075515,335404.124438,311.031769
10.266516,26.115369,0.018734,2,376.72,4720.047938,334409.180777,310.125121
7.741367,27.154233,0.017765,1,822.64,5022.292153,333202.233331,309.92111
9.894535,25.866966,0.018408,3,253.973333,4789.57106,335139.763944,310.947261
9.725874,26.634121,0.018163,1,823.04,4881.259426,334753.946423,310.849549
10.090776,25.077402,0.017731,5,155.44,5008.381105,332370.712266,309.143429
10.023829,26.977575,0.017853,4,196.04,4969.081488,333550.701349,310.067962
9.606511,28.593248,0.018056,1,823.24,4902.445517,333630.867482,309.968172
9.563206,26.893049,0.018923,4,195.58,4643.082476,334939.316691,310.381064
10.148918,26.511272,0.018598,3,274.893333,4741.127304,334829.731948,310.563317
9.471446,26.076511,0.018078,4,187.74,4905.386703,333554.798893,309.901678
10.113415,24.226807,0.018127,5,148.8,4879.82819,333484.278558,309.759074
6.395842,28.700632,0.018456,2,449.34,4779.308871,334189.298909,310.143447
9.94963,26.633645,0.01845,1,921.56,4790.8851,334558.967225,310.449823
10.810291,25.832447,0.018037,2,395.54,4920.84903,334489.024415,310.733205
7.82133,26.528268,0.017812,4,179.74,4977.780131,332682.13065,309.314915
10.540456,27.132061,0.261879,4,193.94,4155.979202,334721.944024,259.542027
8.96316,27.862856,0.017995,2,404.54,4943.863431,334194.555045,310.575188
9.538641,25.079314,0.321251,4,193.89,4093.816342,334646.452016,259.635231
9.056628,26.216289,0.018182,1,747.84,4893.516813,333310.315968,309.63039
9.356926,28.581274,0.018619,3,292.84,4731.59271,335398.443835,311.039771
9.77013,26.32348,0.01861,3,274.76,4740.319094,334535.725728,310.305689
8.748006,26.892409,0.018592,1,884.76,4752.238662,334851.828107,310.598943
8.24455,24.987218,0.018231,4,184.94,4853.231315,334064.851785,310.181422
9.753945,25.789842,0.018445,3,242.306667,4789.241914,334140.505545,310.070782
9.459606,23.993336,0.018419,7,100.497143,4790.279825,334140.083304,310.064273
8.650229,27.291881,0.017811,3,281.64,4986.114586,333336.125333,309.951643
9.145087,24.85121,0.01842,2,397.82,4789.415889,334604.674646,310.46908
9.117553,25.749963,0.018023,1,855.96,4897.297366,333826.717509,310.113703
8.913736,26.35109,0.018399,5,160.04,4806.792659,334436.300898,310.396719
9.177626,26.357525,0.018541,2,418.9,4768.014577,334773.543929,310.591043
9.390133,26.003111,0.017846,2,442.42,4960.853157,332659.910664,309.272979
8.838752,26.188199,0.017958,2,429.34,4939.361981,333717.093422,310.160202
10.008177,25.380866,0.018476,4,200.74,4784.930674,335723.876829,311.428226
10.72011,27.314253,0.017666,2,416.52,5011.98313,332826.794005,309.581506
10.130807,26.013799,0.018221,3,274.76,4856.350839,333287.82947,309.520451
9.251656,25.352262,0.018211,2,435.38,4849.697474,333408.565948,309.617932
10.01482,25.286914,0.019671,4,197.29,4461.82868,337761.227345,312.315685
10.743844,24.66649,0.017938,4,200.98,4933.692782,333767.485036,310.142051
10.350763,28.066738,0.018291,4,206.19,4873.168032,333958.325606,310.156642
8.677398,27.542475,0.018536,2,400.14,4752.340635,335127.746953,310.847962
9.858147,25.49227,0.01784,2,413.94,4974.528219,333866.895079,310.369895
10.320762,26.547686,0.018443,6,123.306667,4799.12974,335425.32728,311.227331
